"Plot Title: Experiment "
"#","Time, GMT-05:00","K-Type, °C","Started","Host Connected","Stopped","End Of File"
1,10/12/15 11:58:48.5 AM,23.30,Logged,,,
2,10/12/15 11:58:49.5 AM,23.30,,,,
3,10/12/15 11:58:50.5 AM,23.30,,,,
4,10/12/15 11:58:51.5 AM,23.30,,,,
5,10/12/15 11:58:52.5 AM,23.30,,,,
6,10/12/15 11:58:53.5 AM,23.30,,,,
7,10/12/15 11:58:54.5 AM,23.30,,,,
8,10/12/15 11:58:55.5 AM,23.30,,,,
9,10/12/15 11:58:56.5 AM,23.30,,,,
10,10/12/15 11:58:57.5 AM,23.30,,,,
11,10/12/15 11:58:58.5 AM,23.30,,,,
12,10/12/15 11:58:59.5 AM,23.30,,,,
13,10/12/15 11:59:00.5 AM,23.30,,,,
14,10/12/15 11:59:01.5 AM,23.30,,,,
15,10/12/15 11:59:02.5 AM,23.30,,,,
16,10/12/15 11:59:03.5 AM,23.30,,,,
17,10/12/15 11:59:04.5 AM,23.30,,,,
18,10/12/15 11:59:05.5 AM,23.30,,,,
19,10/12/15 11:59:06.5 AM,22.97,,,,
20,10/12/15 11:59:07.5 AM,23.30,,,,
21,10/12/15 11:59:08.5 AM,23.30,,,,
22,10/12/15 11:59:09.5 AM,23.30,,,,
23,10/12/15 11:59:10.5 AM,23.30,,,,
24,10/12/15 11:59:11.5 AM,23.30,,,,
25,10/12/15 11:59:12.5 AM,23.30,,,,
26,10/12/15 11:59:13.5 AM,23.30,,,,
27,10/12/15 11:59:14.5 AM,23.30,,,,
28,10/12/15 11:59:15.5 AM,23.30,,,,
29,10/12/15 11:59:16.5 AM,23.30,,,,
30,10/12/15 11:59:17.5 AM,23.30,,,,
31,10/12/15 11:59:18.5 AM,23.30,,,,
32,10/12/15 11:59:19.5 AM,23.30,,,,
33,10/12/15 11:59:20.5 AM,23.30,,,,
34,10/12/15 11:59:21.5 AM,23.30,,,,
35,10/12/15 11:59:22.5 AM,23.30,,,,
36,10/12/15 11:59:23.5 AM,23.30,,,,
37,10/12/15 11:59:24.5 AM,23.30,,,,
38,10/12/15 11:59:25.5 AM,22.97,,,,
39,10/12/15 11:59:26.5 AM,23.30,,,,
40,10/12/15 11:59:27.5 AM,23.30,,,,
41,10/12/15 11:59:28.5 AM,23.30,,,,
42,10/12/15 11:59:29.5 AM,22.97,,,,
43,10/12/15 11:59:30.5 AM,22.97,,,,
44,10/12/15 11:59:31.5 AM,23.30,,,,
45,10/12/15 11:59:32.5 AM,22.97,,,,
46,10/12/15 11:59:33.5 AM,23.30,,,,
47,10/12/15 11:59:34.5 AM,22.97,,,,
48,10/12/15 11:59:35.5 AM,23.30,,,,
49,10/12/15 11:59:36.5 AM,22.97,,,,
50,10/12/15 11:59:37.5 AM,22.97,,,,
51,10/12/15 11:59:38.5 AM,23.30,,,,
52,10/12/15 11:59:39.5 AM,22.97,,,,
53,10/12/15 11:59:40.5 AM,22.97,,,,
54,10/12/15 11:59:41.5 AM,22.97,,,,
55,10/12/15 11:59:42.5 AM,23.30,,,,
56,10/12/15 11:59:43.5 AM,23.30,,,,
57,10/12/15 11:59:44.5 AM,22.97,,,,
58,10/12/15 11:59:45.5 AM,23.30,,,,
59,10/12/15 11:59:46.5 AM,22.97,,,,
60,10/12/15 11:59:47.5 AM,22.97,,,,
61,10/12/15 11:59:48.5 AM,22.97,,,,
62,10/12/15 11:59:49.5 AM,22.97,,,,
63,10/12/15 11:59:50.5 AM,22.97,,,,
64,10/12/15 11:59:51.5 AM,22.97,,,,
65,10/12/15 11:59:52.5 AM,22.97,,,,
66,10/12/15 11:59:53.5 AM,22.97,,,,
67,10/12/15 11:59:54.5 AM,22.97,,,,
68,10/12/15 11:59:55.5 AM,22.97,,,,
69,10/12/15 11:59:56.5 AM,23.30,,,,
70,10/12/15 11:59:57.5 AM,22.97,,,,
71,10/12/15 11:59:58.5 AM,22.97,,,,
72,10/12/15 11:59:59.5 AM,23.30,,,,
73,10/12/15 12:00:00.5 PM,22.97,,,,
74,10/12/15 12:00:01.5 PM,22.97,,,,
75,10/12/15 12:00:02.5 PM,22.97,,,,
76,10/12/15 12:00:03.5 PM,22.97,,,,
77,10/12/15 12:00:04.5 PM,22.97,,,,
78,10/12/15 12:00:05.5 PM,22.97,,,,
79,10/12/15 12:00:06.5 PM,22.97,,,,
80,10/12/15 12:00:07.5 PM,22.97,,,,
81,10/12/15 12:00:08.5 PM,22.97,,,,
82,10/12/15 12:00:09.5 PM,22.97,,,,
83,10/12/15 12:00:10.5 PM,22.97,,,,
84,10/12/15 12:00:11.5 PM,22.97,,,,
85,10/12/15 12:00:12.5 PM,22.97,,,,
86,10/12/15 12:00:13.5 PM,22.97,,,,
87,10/12/15 12:00:14.5 PM,22.97,,,,
88,10/12/15 12:00:15.5 PM,22.97,,,,
89,10/12/15 12:00:16.5 PM,22.97,,,,
90,10/12/15 12:00:17.5 PM,22.97,,,,
91,10/12/15 12:00:18.5 PM,22.97,,,,
92,10/12/15 12:00:19.5 PM,22.97,,,,
93,10/12/15 12:00:20.5 PM,22.97,,,,
94,10/12/15 12:00:21.5 PM,22.97,,,,
95,10/12/15 12:00:22.5 PM,22.97,,,,
96,10/12/15 12:00:23.5 PM,22.97,,,,
97,10/12/15 12:00:24.5 PM,22.97,,,,
98,10/12/15 12:00:25.5 PM,22.97,,,,
99,10/12/15 12:00:26.5 PM,22.97,,,,
100,10/12/15 12:00:27.5 PM,22.97,,,,
101,10/12/15 12:00:28.5 PM,22.97,,,,
102,10/12/15 12:00:29.5 PM,22.97,,,,
103,10/12/15 12:00:30.5 PM,22.97,,,,
104,10/12/15 12:00:31.5 PM,22.97,,,,
105,10/12/15 12:00:32.5 PM,22.97,,,,
106,10/12/15 12:00:33.5 PM,22.97,,,,
107,10/12/15 12:00:34.5 PM,22.97,,,,
108,10/12/15 12:00:35.5 PM,22.97,,,,
109,10/12/15 12:00:36.5 PM,23.30,,,,
110,10/12/15 12:00:37.5 PM,22.97,,,,
111,10/12/15 12:00:38.5 PM,22.97,,,,
112,10/12/15 12:00:39.5 PM,22.97,,,,
113,10/12/15 12:00:40.5 PM,22.97,,,,
114,10/12/15 12:00:41.5 PM,22.97,,,,
115,10/12/15 12:00:42.5 PM,22.97,,,,
116,10/12/15 12:00:43.5 PM,22.97,,,,
117,10/12/15 12:00:44.5 PM,22.97,,,,
118,10/12/15 12:00:45.5 PM,23.30,,,,
119,10/12/15 12:00:46.5 PM,22.97,,,,
120,10/12/15 12:00:47.5 PM,22.97,,,,
121,10/12/15 12:00:48.5 PM,22.97,,,,
122,10/12/15 12:00:49.5 PM,22.97,,,,
123,10/12/15 12:00:50.5 PM,22.97,,,,
124,10/12/15 12:00:51.5 PM,22.97,,,,
125,10/12/15 12:00:52.5 PM,22.97,,,,
126,10/12/15 12:00:53.5 PM,22.97,,,,
127,10/12/15 12:00:54.5 PM,22.97,,,,
128,10/12/15 12:00:55.5 PM,22.97,,,,
129,10/12/15 12:00:56.5 PM,22.97,,,,
130,10/12/15 12:00:57.5 PM,22.97,,,,
131,10/12/15 12:00:58.5 PM,22.97,,,,
132,10/12/15 12:00:59.5 PM,22.97,,,,
133,10/12/15 12:01:00.5 PM,22.97,,,,
134,10/12/15 12:01:01.5 PM,22.97,,,,
135,10/12/15 12:01:02.5 PM,22.97,,,,
136,10/12/15 12:01:03.5 PM,22.97,,,,
137,10/12/15 12:01:04.5 PM,22.97,,,,
138,10/12/15 12:01:05.5 PM,22.97,,,,
139,10/12/15 12:01:06.5 PM,22.97,,,,
140,10/12/15 12:01:07.5 PM,22.97,,,,
141,10/12/15 12:01:08.5 PM,22.97,,,,
142,10/12/15 12:01:09.5 PM,22.97,,,,
143,10/12/15 12:01:10.5 PM,22.97,,,,
144,10/12/15 12:01:11.5 PM,22.97,,,,
145,10/12/15 12:01:12.5 PM,23.30,,,,
146,10/12/15 12:01:13.5 PM,22.97,,,,
147,10/12/15 12:01:14.5 PM,22.97,,,,
148,10/12/15 12:01:15.5 PM,22.97,,,,
149,10/12/15 12:01:16.5 PM,22.97,,,,
150,10/12/15 12:01:17.5 PM,22.97,,,,
151,10/12/15 12:01:18.5 PM,22.97,,,,
152,10/12/15 12:01:19.5 PM,22.97,,,,
153,10/12/15 12:01:20.5 PM,22.97,,,,
154,10/12/15 12:01:21.5 PM,22.97,,,,
155,10/12/15 12:01:22.5 PM,22.97,,,,
156,10/12/15 12:01:23.5 PM,23.30,,,,
157,10/12/15 12:01:24.5 PM,22.97,,,,
158,10/12/15 12:01:25.5 PM,22.97,,,,
159,10/12/15 12:01:26.5 PM,23.30,,,,
160,10/12/15 12:01:27.5 PM,22.97,,,,
161,10/12/15 12:01:28.5 PM,22.97,,,,
162,10/12/15 12:01:29.5 PM,22.97,,,,
163,10/12/15 12:01:30.5 PM,22.97,,,,
164,10/12/15 12:01:31.5 PM,22.97,,,,
165,10/12/15 12:01:32.5 PM,23.30,,,,
166,10/12/15 12:01:33.5 PM,22.97,,,,
167,10/12/15 12:01:34.5 PM,22.97,,,,
168,10/12/15 12:01:35.5 PM,22.97,,,,
169,10/12/15 12:01:36.5 PM,22.97,,,,
170,10/12/15 12:01:37.5 PM,22.97,,,,
171,10/12/15 12:01:38.5 PM,22.97,,,,
172,10/12/15 12:01:39.5 PM,22.97,,,,
173,10/12/15 12:01:40.5 PM,22.97,,,,
174,10/12/15 12:01:41.5 PM,22.97,,,,
175,10/12/15 12:01:42.5 PM,22.97,,,,
176,10/12/15 12:01:43.5 PM,22.97,,,,
177,10/12/15 12:01:44.5 PM,22.97,,,,
178,10/12/15 12:01:45.5 PM,22.97,,,,
179,10/12/15 12:01:46.5 PM,22.97,,,,
180,10/12/15 12:01:47.5 PM,22.97,,,,
181,10/12/15 12:01:48.5 PM,22.97,,,,
182,10/12/15 12:01:49.5 PM,22.97,,,,
183,10/12/15 12:01:50.5 PM,22.97,,,,
184,10/12/15 12:01:51.5 PM,22.97,,,,
185,10/12/15 12:01:52.5 PM,22.97,,,,
186,10/12/15 12:01:53.5 PM,22.97,,,,
187,10/12/15 12:01:54.5 PM,22.97,,,,
188,10/12/15 12:01:55.5 PM,22.97,,,,
189,10/12/15 12:01:56.5 PM,22.97,,,,
190,10/12/15 12:01:57.5 PM,22.97,,,,
191,10/12/15 12:01:58.5 PM,22.97,,,,
192,10/12/15 12:01:59.5 PM,22.97,,,,
193,10/12/15 12:02:00.5 PM,22.97,,,,
194,10/12/15 12:02:01.5 PM,22.97,,,,
195,10/12/15 12:02:02.5 PM,22.97,,,,
196,10/12/15 12:02:03.5 PM,22.97,,,,
197,10/12/15 12:02:04.5 PM,22.97,,,,
198,10/12/15 12:02:05.5 PM,22.97,,,,
199,10/12/15 12:02:06.5 PM,22.97,,,,
200,10/12/15 12:02:07.5 PM,22.97,,,,
201,10/12/15 12:02:08.5 PM,22.97,,,,
202,10/12/15 12:02:09.5 PM,22.97,,,,
203,10/12/15 12:02:10.5 PM,22.97,,,,
204,10/12/15 12:02:11.5 PM,22.97,,,,
205,10/12/15 12:02:12.5 PM,22.97,,,,
206,10/12/15 12:02:13.5 PM,22.97,,,,
207,10/12/15 12:02:14.5 PM,22.97,,,,
208,10/12/15 12:02:15.5 PM,22.97,,,,
209,10/12/15 12:02:16.5 PM,22.97,,,,
210,10/12/15 12:02:17.5 PM,22.97,,,,
211,10/12/15 12:02:18.5 PM,22.97,,,,
212,10/12/15 12:02:19.5 PM,22.97,,,,
213,10/12/15 12:02:20.5 PM,22.97,,,,
214,10/12/15 12:02:21.5 PM,22.97,,,,
215,10/12/15 12:02:22.5 PM,22.97,,,,
216,10/12/15 12:02:23.5 PM,22.97,,,,
217,10/12/15 12:02:24.5 PM,22.97,,,,
218,10/12/15 12:02:25.5 PM,22.97,,,,
219,10/12/15 12:02:26.5 PM,22.97,,,,
220,10/12/15 12:02:27.5 PM,22.97,,,,
221,10/12/15 12:02:28.5 PM,22.97,,,,
222,10/12/15 12:02:29.5 PM,22.97,,,,
223,10/12/15 12:02:30.5 PM,22.97,,,,
224,10/12/15 12:02:31.5 PM,22.97,,,,
225,10/12/15 12:02:32.5 PM,22.97,,,,
226,10/12/15 12:02:33.5 PM,22.97,,,,
227,10/12/15 12:02:34.5 PM,22.97,,,,
228,10/12/15 12:02:35.5 PM,22.97,,,,
229,10/12/15 12:02:36.5 PM,22.97,,,,
230,10/12/15 12:02:37.5 PM,22.97,,,,
231,10/12/15 12:02:38.5 PM,22.97,,,,
232,10/12/15 12:02:39.5 PM,22.97,,,,
233,10/12/15 12:02:40.5 PM,22.97,,,,
234,10/12/15 12:02:41.5 PM,22.97,,,,
235,10/12/15 12:02:42.5 PM,22.97,,,,
236,10/12/15 12:02:43.5 PM,23.30,,,,
237,10/12/15 12:02:44.5 PM,22.97,,,,
238,10/12/15 12:02:45.5 PM,22.97,,,,
239,10/12/15 12:02:46.5 PM,22.97,,,,
240,10/12/15 12:02:47.5 PM,23.30,,,,
241,10/12/15 12:02:48.5 PM,22.97,,,,
242,10/12/15 12:02:49.5 PM,22.97,,,,
243,10/12/15 12:02:50.5 PM,23.30,,,,
244,10/12/15 12:02:51.5 PM,22.97,,,,
245,10/12/15 12:02:52.5 PM,22.97,,,,
246,10/12/15 12:02:53.5 PM,23.30,,,,
247,10/12/15 12:02:54.5 PM,22.97,,,,
248,10/12/15 12:02:55.5 PM,22.97,,,,
249,10/12/15 12:02:56.5 PM,22.97,,,,
250,10/12/15 12:02:57.5 PM,23.30,,,,
251,10/12/15 12:02:58.5 PM,22.97,,,,
252,10/12/15 12:02:59.5 PM,22.97,,,,
253,10/12/15 12:03:00.5 PM,22.97,,,,
254,10/12/15 12:03:01.5 PM,22.97,,,,
255,10/12/15 12:03:02.5 PM,22.97,,,,
256,10/12/15 12:03:03.5 PM,22.97,,,,
257,10/12/15 12:03:04.5 PM,22.97,,,,
258,10/12/15 12:03:05.5 PM,22.97,,,,
259,10/12/15 12:03:06.5 PM,22.97,,,,
260,10/12/15 12:03:07.5 PM,22.97,,,,
261,10/12/15 12:03:08.5 PM,22.97,,,,
262,10/12/15 12:03:09.5 PM,22.97,,,,
263,10/12/15 12:03:10.5 PM,22.97,,,,
264,10/12/15 12:03:11.5 PM,22.97,,,,
265,10/12/15 12:03:12.5 PM,22.97,,,,
266,10/12/15 12:03:13.5 PM,22.97,,,,
267,10/12/15 12:03:14.5 PM,22.97,,,,
268,10/12/15 12:03:15.5 PM,22.97,,,,
269,10/12/15 12:03:16.5 PM,22.97,,,,
270,10/12/15 12:03:17.5 PM,22.97,,,,
271,10/12/15 12:03:18.5 PM,22.97,,,,
272,10/12/15 12:03:19.5 PM,22.97,,,,
273,10/12/15 12:03:20.5 PM,22.97,,,,
274,10/12/15 12:03:21.5 PM,22.97,,,,
275,10/12/15 12:03:22.5 PM,22.97,,,,
276,10/12/15 12:03:23.5 PM,22.97,,,,
277,10/12/15 12:03:24.5 PM,22.97,,,,
278,10/12/15 12:03:25.5 PM,22.97,,,,
279,10/12/15 12:03:26.5 PM,22.97,,,,
280,10/12/15 12:03:27.5 PM,22.97,,,,
281,10/12/15 12:03:28.5 PM,22.97,,,,
282,10/12/15 12:03:29.5 PM,22.97,,,,
283,10/12/15 12:03:30.5 PM,22.97,,,,
284,10/12/15 12:03:31.5 PM,22.97,,,,
285,10/12/15 12:03:32.5 PM,22.97,,,,
286,10/12/15 12:03:33.5 PM,22.97,,,,
287,10/12/15 12:03:34.5 PM,22.97,,,,
288,10/12/15 12:03:35.5 PM,22.97,,,,
289,10/12/15 12:03:36.5 PM,22.97,,,,
290,10/12/15 12:03:37.5 PM,22.97,,,,
291,10/12/15 12:03:38.5 PM,22.97,,,,
292,10/12/15 12:03:39.5 PM,22.97,,,,
293,10/12/15 12:03:40.5 PM,22.97,,,,
294,10/12/15 12:03:41.5 PM,22.97,,,,
295,10/12/15 12:03:42.5 PM,22.97,,,,
296,10/12/15 12:03:43.5 PM,22.97,,,,
297,10/12/15 12:03:44.5 PM,22.97,,,,
298,10/12/15 12:03:45.5 PM,22.97,,,,
299,10/12/15 12:03:46.5 PM,22.97,,,,
300,10/12/15 12:03:47.5 PM,22.97,,,,
301,10/12/15 12:03:48.5 PM,22.97,,,,
302,10/12/15 12:03:49.5 PM,22.97,,,,
303,10/12/15 12:03:50.5 PM,22.97,,,,
304,10/12/15 12:03:51.5 PM,22.97,,,,
305,10/12/15 12:03:52.5 PM,22.97,,,,
306,10/12/15 12:03:53.5 PM,22.97,,,,
307,10/12/15 12:03:54.5 PM,22.97,,,,
308,10/12/15 12:03:55.5 PM,22.97,,,,
309,10/12/15 12:03:56.5 PM,22.97,,,,
310,10/12/15 12:03:57.5 PM,22.97,,,,
311,10/12/15 12:03:58.5 PM,22.97,,,,
312,10/12/15 12:03:59.5 PM,22.97,,,,
313,10/12/15 12:04:00.5 PM,22.97,,,,
314,10/12/15 12:04:01.5 PM,22.97,,,,
315,10/12/15 12:04:02.5 PM,22.97,,,,
316,10/12/15 12:04:03.5 PM,22.97,,,,
317,10/12/15 12:04:04.5 PM,22.97,,,,
318,10/12/15 12:04:05.5 PM,22.97,,,,
319,10/12/15 12:04:06.5 PM,22.97,,,,
320,10/12/15 12:04:07.5 PM,22.97,,,,
321,10/12/15 12:04:08.5 PM,22.97,,,,
322,10/12/15 12:04:09.5 PM,22.97,,,,
323,10/12/15 12:04:10.5 PM,22.97,,,,
324,10/12/15 12:04:11.5 PM,22.97,,,,
325,10/12/15 12:04:12.5 PM,22.97,,,,
326,10/12/15 12:04:13.5 PM,22.97,,,,
327,10/12/15 12:04:14.5 PM,22.97,,,,
328,10/12/15 12:04:15.5 PM,22.97,,,,
329,10/12/15 12:04:16.5 PM,22.97,,,,
330,10/12/15 12:04:17.5 PM,22.97,,,,
331,10/12/15 12:04:18.5 PM,22.97,,,,
332,10/12/15 12:04:19.5 PM,22.97,,,,
333,10/12/15 12:04:20.5 PM,22.97,,,,
334,10/12/15 12:04:21.5 PM,22.97,,,,
335,10/12/15 12:04:22.5 PM,22.97,,,,
336,10/12/15 12:04:23.5 PM,22.97,,,,
337,10/12/15 12:04:24.5 PM,22.97,,,,
338,10/12/15 12:04:25.5 PM,22.97,,,,
339,10/12/15 12:04:26.5 PM,22.97,,,,
340,10/12/15 12:04:27.5 PM,22.97,,,,
341,10/12/15 12:04:28.5 PM,22.97,,,,
342,10/12/15 12:04:29.5 PM,22.97,,,,
343,10/12/15 12:04:30.5 PM,22.97,,,,
344,10/12/15 12:04:31.5 PM,22.97,,,,
345,10/12/15 12:04:32.5 PM,22.97,,,,
346,10/12/15 12:04:33.5 PM,22.97,,,,
347,10/12/15 12:04:34.5 PM,22.97,,,,
348,10/12/15 12:04:35.5 PM,22.97,,,,
349,10/12/15 12:04:36.5 PM,22.97,,,,
350,10/12/15 12:04:37.5 PM,22.97,,,,
351,10/12/15 12:04:38.5 PM,22.97,,,,
352,10/12/15 12:04:39.5 PM,22.97,,,,
353,10/12/15 12:04:40.5 PM,22.97,,,,
354,10/12/15 12:04:41.5 PM,22.97,,,,
355,10/12/15 12:04:42.5 PM,22.97,,,,
356,10/12/15 12:04:43.5 PM,22.97,,,,
357,10/12/15 12:04:44.5 PM,22.97,,,,
358,10/12/15 12:04:45.5 PM,22.97,,,,
359,10/12/15 12:04:46.5 PM,22.97,,,,
360,10/12/15 12:04:47.5 PM,22.97,,,,
361,10/12/15 12:04:48.5 PM,22.97,,,,
362,10/12/15 12:04:49.5 PM,22.97,,,,
363,10/12/15 12:04:50.5 PM,22.97,,,,
364,10/12/15 12:04:51.5 PM,22.97,,,,
365,10/12/15 12:04:52.5 PM,22.97,,,,
366,10/12/15 12:04:53.5 PM,22.97,,,,
367,10/12/15 12:04:54.5 PM,22.97,,,,
368,10/12/15 12:04:55.5 PM,22.97,,,,
369,10/12/15 12:04:56.5 PM,22.97,,,,
370,10/12/15 12:04:57.5 PM,22.97,,,,
371,10/12/15 12:04:58.5 PM,22.97,,,,
372,10/12/15 12:04:59.5 PM,22.97,,,,
373,10/12/15 12:05:00.5 PM,22.97,,,,
374,10/12/15 12:05:01.5 PM,22.97,,,,
375,10/12/15 12:05:02.5 PM,23.64,,,,
376,10/12/15 12:05:03.5 PM,23.64,,,,
377,10/12/15 12:05:04.5 PM,23.64,,,,
378,10/12/15 12:05:05.5 PM,23.64,,,,
379,10/12/15 12:05:06.5 PM,23.64,,,,
380,10/12/15 12:05:07.5 PM,23.98,,,,
381,10/12/15 12:05:08.5 PM,24.65,,,,
382,10/12/15 12:05:09.5 PM,25.99,,,,
383,10/12/15 12:05:10.5 PM,25.65,,,,
384,10/12/15 12:05:11.5 PM,25.65,,,,
385,10/12/15 12:05:12.5 PM,25.32,,,,
386,10/12/15 12:05:13.5 PM,25.65,,,,
387,10/12/15 12:05:14.5 PM,25.65,,,,
388,10/12/15 12:05:15.5 PM,25.65,,,,
389,10/12/15 12:05:16.5 PM,25.99,,,,
390,10/12/15 12:05:17.5 PM,25.99,,,,
391,10/12/15 12:05:18.5 PM,25.99,,,,
392,10/12/15 12:05:19.5 PM,25.99,,,,
393,10/12/15 12:05:20.5 PM,25.99,,,,
394,10/12/15 12:05:21.5 PM,25.99,,,,
395,10/12/15 12:05:22.5 PM,26.66,,,,
396,10/12/15 12:05:23.5 PM,27.67,,,,
397,10/12/15 12:05:24.5 PM,27.00,,,,
398,10/12/15 12:05:25.5 PM,27.00,,,,
399,10/12/15 12:05:26.5 PM,27.00,,,,
400,10/12/15 12:05:27.5 PM,27.00,,,,
401,10/12/15 12:05:28.5 PM,26.66,,,,
402,10/12/15 12:05:29.5 PM,26.66,,,,
403,10/12/15 12:05:30.5 PM,26.66,,,,
404,10/12/15 12:05:31.5 PM,26.66,,,,
405,10/12/15 12:05:32.5 PM,26.66,,,,
406,10/12/15 12:05:33.5 PM,27.00,,,,
407,10/12/15 12:05:34.5 PM,27.33,,,,
408,10/12/15 12:05:35.5 PM,27.00,,,,
409,10/12/15 12:05:36.5 PM,27.33,,,,
410,10/12/15 12:05:37.5 PM,29.67,,,,
411,10/12/15 12:05:38.5 PM,31.34,,,,
412,10/12/15 12:05:39.5 PM,31.68,,,,
413,10/12/15 12:05:40.5 PM,31.34,,,,
414,10/12/15 12:05:41.5 PM,31.34,,,,
415,10/12/15 12:05:42.5 PM,34.68,,,,
416,10/12/15 12:05:43.5 PM,35.68,,,,
417,10/12/15 12:05:44.5 PM,36.01,,,,
418,10/12/15 12:05:45.5 PM,36.01,,,,
419,10/12/15 12:05:46.5 PM,35.68,,,,
420,10/12/15 12:05:47.5 PM,35.68,,,,
421,10/12/15 12:05:48.5 PM,35.34,,,,
422,10/12/15 12:05:49.5 PM,35.34,,,,
423,10/12/15 12:05:50.5 PM,35.01,,,,
424,10/12/15 12:05:51.5 PM,35.01,,,,
425,10/12/15 12:05:52.5 PM,35.01,,,,
426,10/12/15 12:05:53.5 PM,35.01,,,,
427,10/12/15 12:05:54.5 PM,34.68,,,,
428,10/12/15 12:05:55.5 PM,34.68,,,,
429,10/12/15 12:05:56.5 PM,34.68,,,,
430,10/12/15 12:05:57.5 PM,34.34,,,,
431,10/12/15 12:05:58.5 PM,34.34,,,,
432,10/12/15 12:05:59.5 PM,34.34,,,,
433,10/12/15 12:06:00.5 PM,35.01,,,,
434,10/12/15 12:06:01.5 PM,35.01,,,,
435,10/12/15 12:06:02.5 PM,35.34,,,,
436,10/12/15 12:06:03.5 PM,36.01,,,,
437,10/12/15 12:06:04.5 PM,36.01,,,,
438,10/12/15 12:06:05.5 PM,36.01,,,,
439,10/12/15 12:06:06.5 PM,35.68,,,,
440,10/12/15 12:06:07.5 PM,35.68,,,,
441,10/12/15 12:06:08.5 PM,35.68,,,,
442,10/12/15 12:06:09.5 PM,35.68,,,,
443,10/12/15 12:06:10.5 PM,35.34,,,,
444,10/12/15 12:06:11.5 PM,35.68,,,,
445,10/12/15 12:06:12.5 PM,35.68,,,,
446,10/12/15 12:06:13.5 PM,35.68,,,,
447,10/12/15 12:06:14.5 PM,35.68,,,,
448,10/12/15 12:06:15.5 PM,35.68,,,,
449,10/12/15 12:06:16.5 PM,35.34,,,,
450,10/12/15 12:06:17.5 PM,35.01,,,,
451,10/12/15 12:06:18.5 PM,34.68,,,,
452,10/12/15 12:06:19.5 PM,34.68,,,,
453,10/12/15 12:06:20.5 PM,34.68,,,,
454,10/12/15 12:06:21.5 PM,34.34,,,,
455,10/12/15 12:06:22.5 PM,34.34,,,,
456,10/12/15 12:06:23.5 PM,34.34,,,,
457,10/12/15 12:06:24.5 PM,34.34,,,,
458,10/12/15 12:06:25.5 PM,34.34,,,,
459,10/12/15 12:06:26.5 PM,34.34,,,,
460,10/12/15 12:06:27.5 PM,34.34,,,,
461,10/12/15 12:06:28.5 PM,34.01,,,,
462,10/12/15 12:06:29.5 PM,34.01,,,,
463,10/12/15 12:06:30.5 PM,34.01,,,,
464,10/12/15 12:06:31.5 PM,33.68,,,,
465,10/12/15 12:06:32.5 PM,33.68,,,,
466,10/12/15 12:06:33.5 PM,33.35,,,,
467,10/12/15 12:06:34.5 PM,33.35,,,,
468,10/12/15 12:06:35.5 PM,33.35,,,,
469,10/12/15 12:06:36.5 PM,33.01,,,,
470,10/12/15 12:06:37.5 PM,33.01,,,,
471,10/12/15 12:06:38.5 PM,33.01,,,,
472,10/12/15 12:06:39.5 PM,32.68,,,,
473,10/12/15 12:06:40.5 PM,32.68,,,,
474,10/12/15 12:06:41.5 PM,32.68,,,,
475,10/12/15 12:06:42.5 PM,32.35,,,,
476,10/12/15 12:06:43.5 PM,32.35,,,,
477,10/12/15 12:06:44.5 PM,32.35,,,,
478,10/12/15 12:06:45.5 PM,32.01,,,,
479,10/12/15 12:06:46.5 PM,32.01,,,,
480,10/12/15 12:06:47.5 PM,32.01,,,,
481,10/12/15 12:06:48.5 PM,32.01,,,,
482,10/12/15 12:06:49.5 PM,32.01,,,,
483,10/12/15 12:06:50.5 PM,31.68,,,,
484,10/12/15 12:06:51.5 PM,31.68,,,,
485,10/12/15 12:06:52.5 PM,31.68,,,,
486,10/12/15 12:06:53.5 PM,31.68,,,,
487,10/12/15 12:06:54.5 PM,31.68,,,,
488,10/12/15 12:06:55.5 PM,31.34,,,,
489,10/12/15 12:06:56.5 PM,31.34,,,,
490,10/12/15 12:06:57.5 PM,31.34,,,,
491,10/12/15 12:06:58.5 PM,31.01,,,,
492,10/12/15 12:06:59.5 PM,31.01,,,,
493,10/12/15 12:07:00.5 PM,31.01,,,,
494,10/12/15 12:07:01.5 PM,30.68,,,,
495,10/12/15 12:07:02.5 PM,31.01,,,,
496,10/12/15 12:07:03.5 PM,31.01,,,,
497,10/12/15 12:07:04.5 PM,31.01,,,,
498,10/12/15 12:07:05.5 PM,31.01,,,,
499,10/12/15 12:07:06.5 PM,30.68,,,,
500,10/12/15 12:07:07.5 PM,30.68,,,,
501,10/12/15 12:07:08.5 PM,30.68,,,,
502,10/12/15 12:07:09.5 PM,30.68,,,,
503,10/12/15 12:07:10.5 PM,30.68,,,,
504,10/12/15 12:07:11.5 PM,30.68,,,,
505,10/12/15 12:07:12.5 PM,30.34,,,,
506,10/12/15 12:07:13.5 PM,30.34,,,,
507,10/12/15 12:07:14.5 PM,30.34,,,,
508,10/12/15 12:07:15.5 PM,30.01,,,,
509,10/12/15 12:07:16.5 PM,30.01,,,,
510,10/12/15 12:07:17.5 PM,30.01,,,,
511,10/12/15 12:07:18.5 PM,29.67,,,,
512,10/12/15 12:07:19.5 PM,29.67,,,,
513,10/12/15 12:07:20.5 PM,29.67,,,,
514,10/12/15 12:07:21.5 PM,29.67,,,,
515,10/12/15 12:07:22.5 PM,29.67,,,,
516,10/12/15 12:07:23.5 PM,29.67,,,,
